Target,D1,D2,D3,id_type
games/multimodal_referencegame/resources/tuna_images/79.png,games/multimodal_referencegame/resources/tuna_images/82.png,games/multimodal_referencegame/resources/tuna_images/94.png,games/multimodal_referencegame/resources/tuna_images/70.png,type
games/multimodal_referencegame/resources/tuna_images/57.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/67.png,games/multimodal_referencegame/resources/tuna_images/47.png,orientation
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/24.png,type
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/66.png,type
games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/34.png,type
games/multimodal_referencegame/resources/tuna_images/64.png,games/multimodal_referencegame/resources/tuna_images/47.png,games/multimodal_referencegame/resources/tuna_images/80.png,games/multimodal_referencegame/resources/tuna_images/13.png,orientation
games/multimodal_referencegame/resources/tuna_images/20.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/90.png,games/multimodal_referencegame/resources/tuna_images/86.png,colour
games/multimodal_referencegame/resources/tuna_images/10.png,games/multimodal_referencegame/resources/tuna_images/31.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/26.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/16.png,orientation
games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/41.png,games/multimodal_referencegame/resources/tuna_images/14.png,games/multimodal_referencegame/resources/tuna_images/82.png,orientation
games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/50.png,games/multimodal_referencegame/resources/tuna_images/56.png,games/multimodal_referencegame/resources/tuna_images/41.png,colour_type
games/multimodal_referencegame/resources/tuna_images/53.png,games/multimodal_referencegame/resources/tuna_images/51.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/81.png,colour_type
games/multimodal_referencegame/resources/tuna_images/22.png,games/multimodal_referencegame/resources/tuna_images/66.png,games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/49.png,orientation_type
games/multimodal_referencegame/resources/tuna_images/52.png,games/multimodal_referencegame/resources/tuna_images/7.png,games/multimodal_referencegame/resources/tuna_images/56.png,games/multimodal_referencegame/resources/tuna_images/0.png,colour_type
games/multimodal_referencegame/resources/tuna_images/88.png,games/multimodal_referencegame/resources/tuna_images/23.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/3.png,colour_size
games/multimodal_referencegame/resources/tuna_images/71.png,games/multimodal_referencegame/resources/tuna_images/75.png,games/multimodal_referencegame/resources/tuna_images/32.png,games/multimodal_referencegame/resources/tuna_images/14.png,colour_type
games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/39.png,games/multimodal_referencegame/resources/tuna_images/75.png,games/multimodal_referencegame/resources/tuna_images/50.png,orientation_size
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/91.png,games/multimodal_referencegame/resources/tuna_images/27.png,colour_type
games/multimodal_referencegame/resources/tuna_images/51.png,games/multimodal_referencegame/resources/tuna_images/63.png,games/multimodal_referencegame/resources/tuna_images/72.png,games/multimodal_referencegame/resources/tuna_images/87.png,colour_type
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/61.png,games/multimodal_referencegame/resources/tuna_images/58.png,games/multimodal_referencegame/resources/tuna_images/66.png,orientation_type
games/multimodal_referencegame/resources/tuna_images/95.png,games/multimodal_referencegame/resources/tuna_images/69.png,games/multimodal_referencegame/resources/tuna_images/42.png,games/multimodal_referencegame/resources/tuna_images/82.png,colour_type_size
games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/78.png,games/multimodal_referencegame/resources/tuna_images/34.png,games/multimodal_referencegame/resources/tuna_images/76.png,colour_orientation_type
games/multimodal_referencegame/resources/tuna_images/11.png,games/multimodal_referencegame/resources/tuna_images/42.png,games/multimodal_referencegame/resources/tuna_images/74.png,games/multimodal_referencegame/resources/tuna_images/59.png,colour_orientation_size
