Target,D1,D2,D3,id_type,id_attributes
games/multimodal_referencegame/resources/tuna_images/79.png,games/multimodal_referencegame/resources/tuna_images/82.png,games/multimodal_referencegame/resources/tuna_images/94.png,games/multimodal_referencegame/resources/tuna_images/70.png,type,chair
games/multimodal_referencegame/resources/tuna_images/79.png,games/multimodal_referencegame/resources/tuna_images/82.png,games/multimodal_referencegame/resources/tuna_images/94.png,games/multimodal_referencegame/resources/tuna_images/70.png,type,chair
games/multimodal_referencegame/resources/tuna_images/79.png,games/multimodal_referencegame/resources/tuna_images/82.png,games/multimodal_referencegame/resources/tuna_images/94.png,games/multimodal_referencegame/resources/tuna_images/70.png,type,chair
games/multimodal_referencegame/resources/tuna_images/79.png,games/multimodal_referencegame/resources/tuna_images/82.png,games/multimodal_referencegame/resources/tuna_images/94.png,games/multimodal_referencegame/resources/tuna_images/70.png,type,chair
games/multimodal_referencegame/resources/tuna_images/57.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/67.png,games/multimodal_referencegame/resources/tuna_images/47.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/57.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/67.png,games/multimodal_referencegame/resources/tuna_images/47.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/57.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/67.png,games/multimodal_referencegame/resources/tuna_images/47.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/57.png,games/multimodal_referencegame/resources/tuna_images/68.png,games/multimodal_referencegame/resources/tuna_images/67.png,games/multimodal_referencegame/resources/tuna_images/47.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/24.png,type,sofa
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/24.png,type,sofa
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/24.png,type,sofa
games/multimodal_referencegame/resources/tuna_images/89.png,games/multimodal_referencegame/resources/tuna_images/27.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/24.png,type,sofa
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/66.png,type,chair
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/66.png,type,chair
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/66.png,type,chair
games/multimodal_referencegame/resources/tuna_images/60.png,games/multimodal_referencegame/resources/tuna_images/65.png,games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/66.png,type,chair
games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/34.png,type,fan
games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/34.png,type,fan
games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/34.png,type,fan
games/multimodal_referencegame/resources/tuna_images/9.png,games/multimodal_referencegame/resources/tuna_images/40.png,games/multimodal_referencegame/resources/tuna_images/85.png,games/multimodal_referencegame/resources/tuna_images/34.png,type,fan
games/multimodal_referencegame/resources/tuna_images/64.png,games/multimodal_referencegame/resources/tuna_images/47.png,games/multimodal_referencegame/resources/tuna_images/80.png,games/multimodal_referencegame/resources/tuna_images/13.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/64.png,games/multimodal_referencegame/resources/tuna_images/47.png,games/multimodal_referencegame/resources/tuna_images/80.png,games/multimodal_referencegame/resources/tuna_images/13.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/64.png,games/multimodal_referencegame/resources/tuna_images/47.png,games/multimodal_referencegame/resources/tuna_images/80.png,games/multimodal_referencegame/resources/tuna_images/13.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/64.png,games/multimodal_referencegame/resources/tuna_images/47.png,games/multimodal_referencegame/resources/tuna_images/80.png,games/multimodal_referencegame/resources/tuna_images/13.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/20.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/90.png,games/multimodal_referencegame/resources/tuna_images/86.png,colour,red
games/multimodal_referencegame/resources/tuna_images/20.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/90.png,games/multimodal_referencegame/resources/tuna_images/86.png,colour,red
games/multimodal_referencegame/resources/tuna_images/20.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/90.png,games/multimodal_referencegame/resources/tuna_images/86.png,colour,red
games/multimodal_referencegame/resources/tuna_images/20.png,games/multimodal_referencegame/resources/tuna_images/12.png,games/multimodal_referencegame/resources/tuna_images/90.png,games/multimodal_referencegame/resources/tuna_images/86.png,colour,red
games/multimodal_referencegame/resources/tuna_images/10.png,games/multimodal_referencegame/resources/tuna_images/31.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour,grey
games/multimodal_referencegame/resources/tuna_images/10.png,games/multimodal_referencegame/resources/tuna_images/31.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour,grey
games/multimodal_referencegame/resources/tuna_images/10.png,games/multimodal_referencegame/resources/tuna_images/31.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour,grey
games/multimodal_referencegame/resources/tuna_images/10.png,games/multimodal_referencegame/resources/tuna_images/31.png,games/multimodal_referencegame/resources/tuna_images/8.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour,grey
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/26.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/16.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/26.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/16.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/26.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/16.png,orientation,front
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/26.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/16.png,orientation,front
